Time,P_H2_In,F-H-735,F-H-725,dP_HS,dP_NS,F_H2O,F_H2O_kg/s,dP_H2O,T_HS_In,T_HS_Out,T_NS_In,T_NS_Out,T_H2O_In,T_H2O_Out
[s],[bar],[kg/h],[kg/h],[bar],[bar],[m**3/h],[kg/s],[bar],[K],[K],[K],[K],[degC],[degC]
159,148.7,11.87,0.03,0.11,-0.02,2.51,0.759,0.96,78.5,164.21,124.32,175.54,-8.1,-14
160,148.7,11.9,0.03,0.11,-0.01,2.52,0.762,0.95,78.42,164.58,121.78,175.56,-7.9,-13.8
161,150.15,12.01,0.03,0.07,-0.01,2.53,0.765,0.95,78.45,165.15,121.78,175.79,-7.8,-13.7
162,148.2,11.89,0.03,0.06,-0.02,2.53,0.765,0.94,78.54,165.47,123.65,175.79,-7.7,-13.6
163,147.82,11.89,0.03,0.09,-0.03,2.53,0.765,0.93,78.64,165.81,125.23,176.38,-7.7,-13.5
164,150.58,11.84,0.03,0.07,-0.03,2.54,0.767,0.93,78.59,166.55,125.23,176.45,-7.3,-13.3
165,150.58,12.02,0.03,0.07,-0.03,2.55,0.77,0.92,78.59,166.89,122.59,176.45,-7.2,-13.2
166,148.85,11.94,0.03,0.06,-0.02,2.55,0.77,0.92,78.61,167.19,124.42,176.7,-7.1,-13
167,147.12,11.94,0.03,0.09,-0.02,2.55,0.77,0.91,78.64,167.82,126.19,177.27,-7,-12.9
168,150.93,11.82,0.03,0.05,-0.01,2.56,0.773,0.91,78.61,168.24,126.19,177.44,-7,-12.8
169,150.93,12,0.03,0.05,-0.02,2.56,0.773,0.91,78.59,168.61,123.5,177.44,-6.7,-12.6
170,149.42,11.98,0.03,0.07,-0.02,2.57,0.776,0.9,78.64,169.3,125.28,177.69,-6.5,-12.6
171,147.12,11.83,0.03,0.06,-0.02,2.57,0.776,0.89,78.73,169.64,125.28,178.23,-6.4,-12.5
172,150.35,11.83,0.03,0.12,-0.02,2.57,0.776,0.89,78.68,170.01,127.17,178.23,-6.4,-12.3
173,150.35,11.97,0.03,0.12,-0.02,2.58,0.779,0.89,78.66,170.75,124.39,178.43,-6.3,-12.2
174,150,12.05,0.03,0.07,-0.02,2.58,0.779,0.87,78.66,171.12,126.17,178.67,-6.4,-12.1
175,147.85,11.88,0.03,0.06,-0.02,2.58,0.779,0.87,78.78,171.81,126.17,179.22,-6,-11.9
176,149.38,11.88,0.03,0.11,-0.01,2.58,0.779,0.87,78.73,172.21,128.18,179.22,-5.9,-11.9
177,150.53,11.94,0.03,0.06,-0.02,2.59,0.782,0.87,78.73,172.6,125.3,179.42,-5.6,-11.7
178,150.53,12.06,0.03,0.06,-0.02,2.6,0.785,0.87,78.71,173.29,125.3,179.71,-5.4,-11.5
179,148.58,11.93,0.03,0.07,-0.02,2.6,0.785,0.87,78.73,173.64,127.03,179.71,-5.5,-11.4
180,148.3,11.93,0.03,0.1,-0.01,2.6,0.785,0.86,78.8,174.06,129.26,180.28,-5,-11.3
181,150.8,11.91,0.03,0.09,-0.02,2.61,0.788,0.85,78.73,174.48,126.5,180.55,-5,-11.1
182,150.8,12.05,0.03,0.09,-0.02,2.61,0.788,0.85,78.73,175.27,126.5,180.85,-4.9,-11
183,149.02,12,0.03,0.07,-0.02,2.62,0.791,0.84,78.71,175.59,128.11,180.85,-4.8,-10.9
184,147.55,12,0.03,0.06,-0.02,2.62,0.791,0.85,78.8,175.96,130.46,181.42,-4.9,-10.7
185,150.9,11.87,0.03,0.14,-0.02,2.61,0.787,0.85,78.73,176.85,130.46,181.77,-4.6,-10.6
186,150.9,12.02,0.03,0.14,-0.02,2.62,0.79,0.84,78.73,177.24,127.68,181.77,-4.4,-10.5
187,149.42,12.02,0.03,0.07,-0.02,2.62,0.79,0.84,78.78,177.64,129.33,182.04,-4.3,-10.5
188,147.1,12.02,0.03,0.07,-0.02,2.62,0.79,0.83,78.87,178.33,131.72,182.54,-4.2,-10.4
189,150.58,11.89,0.03,0.13,-0.01,2.62,0.79,0.83,78.83,178.77,131.72,182.91,-4,-10.3
190,150.58,11.99,0.03,0.13,-0.02,2.63,0.793,0.83,78.78,179.64,128.81,182.91,-3.8,-10.1
191,149.85,12.02,0.03,0.07,-0.02,2.64,0.796,0.82,78.8,180.06,130.27,183.23,-3.8,-10
192,147.73,11.89,0.03,0.07,-0.02,2.65,0.799,0.82,78.85,180.43,130.27,183.8,-3.6,-9.9
193,149.3,11.89,0.03,0.11,-0.01,2.65,0.799,0.81,78.83,181.2,132.83,183.8,-3.5,-9.7
194,149.3,11.92,0.03,0.08,-0.02,2.65,0.799,0.81,78.83,181.67,130.03,184.17,-3.4,-9.6
195,150.15,12.02,0.03,0.08,-0.02,2.66,0.802,0.8,78.8,182.09,131.45,184.54,-3.3,-9.6
196,148.07,11.92,0.03,0.07,-0.02,2.66,0.802,0.8,78.87,182.49,131.45,185.06,-3.2,-9.4
197,148.1,11.92,0.03,0.12,-0.01,2.66,0.802,0.79,78.9,183.28,134.06,185.06,-3,-9.3
198,150.4,11.89,0.03,0.07,-0.03,2.66,0.802,0.79,78.85,183.7,131.21,185.46,-2.9,-9.2
199,150.4,12.04,0.03,0.07,-0.02,2.66,0.802,0.79,78.83,184.57,131.21,185.83,-2.8,-9
200,148.6,11.94,0.03,0.07,-0.02,2.67,0.805,0.79,78.85,184.97,132.47,185.83,-2.9,-8.8
201,147.17,11.94,0.03,0.16,-0.02,2.67,0.805,0.78,78.97,185.36,135.17,186.38,-2.5,-8.7
202,150.65,11.84,0.03,0.05,-0.02,2.67,0.805,0.78,78.87,186.2,132.32,186.82,-2.5,-8.6
203,150.65,12,0.03,0.05,-0.02,2.68,0.808,0.78,78.87,186.63,132.32,187.2,-2.4,-8.5
204,148.98,11.95,0.03,0.07,-0.02,2.68,0.808,0.78,78.92,187.05,133.51,187.2,-2.2,-8.3
205,146.58,11.81,0.03,0.07,-0.02,2.68,0.808,0.79,79.01,187.86,136.28,187.72,-2.3,-8.3
206,150.4,11.81,0.03,0.13,-0.01,2.68,0.807,0.77,78.97,188.34,136.28,188.24,-2,-8.2
207,149.38,11.96,0.03,0.07,-0.02,2.68,0.807,0.77,78.9,188.73,133.53,188.63,-1.8,-8.1
208,149.38,11.99,0.03,0.07,-0.02,2.68,0.807,0.76,78.9,189.58,134.47,188.63,-1.7,-8
209,147.15,11.85,0.03,0.07,-0.02,2.69,0.81,0.76,78.97,190,137.25,189.13,-1.6,-7.9
210,149.35,11.85,0.03,0.12,-0.01,2.69,0.81,0.76,78.97,190.4,137.25,189.65,-1.8,-7.7
211,149.88,11.94,0.03,0.07,-0.02,2.69,0.81,0.75,78.92,191.27,134.4,189.65,-1.5,-7.6
212,149.88,11.99,0.03,0.07,-0.02,2.69,0.81,0.76,78.92,191.69,135.15,190.05,-1.4,-7.6
213,147.85,11.83,0.03,0.07,-0.02,2.7,0.813,0.75,79.04,192.04,135.15,190.52,-1.3,-7.5
214,148.35,11.83,0.03,0.12,-0.02,2.7,0.813,0.75,79.01,192.88,138.1,190.52,-1.3,-7.5
215,150.38,11.82,0.03,0.08,-0.01,2.7,0.813,0.75,78.99,193.36,135.32,191.09,-1.2,-7.4
216,150.38,12,0.03,0.08,-0.02,2.71,0.816,0.75,78.97,194.08,136.04,191.57,-0.9,-7.3
